flows,products,is_subtotal
04 International marine bunkers,01.99 Coal nonspecified,False
04 International marine bunkers,02 Coal products,True
04 International marine bunkers,02.01 Coke oven coke,False
04 International marine bunkers,02.02 Gas coke,False
04 International marine bunkers,02.03 Coke oven gas,False
04 International marine bunkers,02.04 Blast furnace gas,False
04 International marine bunkers,02.05 Other recovered gases,False
04 International marine bunkers,02.06 Patent fuel,False
04 International marine bunkers,02.07 Coal tar,False
04 International marine bunkers,02.08 BKB/PB,False
04 International marine bunkers,03 Peat,False
04 International marine bunkers,04 Peat products,False
04 International marine bunkers,05 Oil shale and oil sands,False
04 International marine bunkers,06 Crude oil & NGL,True
04 International marine bunkers,06.01 Crude oil,False
04 International marine bunkers,06.02 Natural gas liquids,False
04 International marine bunkers,06.03 Refinery feedstocks,False
04 International marine bunkers,06.04 Additives/ oxygenates,False
04 International marine bunkers,06.05 Other hydrocarbons,False
04 International marine bunkers,07 Petroleum products,True
04 International marine bunkers,07.01 Motor gasoline,False
04 International marine bunkers,07.02 Aviation gasoline,False
04 International marine bunkers,07.03 Naphtha,False
04 International marine bunkers,07.04 Gasoline type jet fuel,False
04 International marine bunkers,07.05 Kerosene type jet fuel,False
04 International marine bunkers,07.06 Kerosene,False
04 International marine bunkers,07.07 Gas/diesel oil,False
04 International marine bunkers,07.08 Fuel oil,False
04 International marine bunkers,07.09 LPG,False
04 International marine bunkers,07.10 Refinery gas (not liquefied),False
04 International marine bunkers,07.11 Ethane,False
04 International marine bunkers,07.12 White spirit SBP,False
04 International marine bunkers,07.13 Lubricants,False
04 International marine bunkers,07.14 Bitumen,False
04 International marine bunkers,07.15 Paraffin  waxes,False
04 International marine bunkers,07.16 Petroleum coke,False
04 International marine bunkers,07.17 Other products,False
04 International marine bunkers,07.99 PetProd nonspecified,False
04 International marine bunkers,08 Gas,True
04 International marine bunkers,08.01 Natural gas,False
04 International marine bunkers,08.02 LNG,False
04 International marine bunkers,08.03 Gas works gas,False
04 International marine bunkers,08.99 Gas nonspecified,False
04 International marine bunkers,09 Nuclear,False
04 International marine bunkers,10 Hydro,False
04 International marine bunkers,11 Geothermal,False
04 International marine bunkers,12 Solar,True
04 International marine bunkers,12.01 of which: Photovoltaics,False
04 International marine bunkers,12.99 Solar nonspecified,False
04 International marine bunkers,"13 Tide, wave, ocean",False
04 International marine bunkers,14 Wind,False
04 International marine bunkers,15 Solid biomass,True
04 International marine bunkers,15.01 Fuelwood & woodwaste,False
04 International marine bunkers,15.02 Bagasse,False
04 International marine bunkers,15.03 Charcoal,False
04 International marine bunkers,15.04 Black liqour,False
04 International marine bunkers,15.05 Other biomass,False
04 International marine bunkers,16 Others,True
04 International marine bunkers,16.01 Biogas,False
04 International marine bunkers,16.02 Industrial waste,False
04 International marine bunkers,16.03 Municipal solid waste (renewable),False
04 International marine bunkers,16.04 Municipal solid waste (non-renewable),False
04 International marine bunkers,16.05 Biogasoline,False
04 International marine bunkers,16.06 Biodiesel,False
04 International marine bunkers,16.07 Bio jet kerosene,False
04 International marine bunkers,16.08 Other liquid biofuels,False
04 International marine bunkers,16.09 Other sources,False
